"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PersonCard\PersonCard.scss", "SCSS", 0, 0, 35, 0, 0, 4, 39
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PictureUploader\PictureUploader.jsx", "JavaScript JSX", 0, 72, 0, 0, 2, 11, 85
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PictureUploader\PictureUploader.scss", "SCSS", 0, 0, 41, 0, 0, 2, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBarItem\SearchBarItem.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBarItem\SearchBarItem.scss", "SCSS", 0, 0, 26, 0, 0, 4, 30
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBar\SearchBar.jsx", "JavaScript JSX", 0, 31, 0, 0, 1, 8, 40
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBar\SearchBar.scss", "SCSS", 0, 0, 66, 0, 4, 7, 77
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchResults\SearchResults.jsx", "JavaScript JSX", 0, 18, 0, 0, 1, 4, 23
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchResults\SearchResults.scss", "SCSS", 0, 0, 41, 0, 0, 2, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\contants.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\hooks\useAddBookState.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\hooks\useArray.js", "JavaScript", 24, 0, 0, 0, 0, 7, 31
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\hooks\useAuthBlurState.js", "JavaScript", 14, 0, 0, 0, 0, 3, 17
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\hooks\useDashboardInterfaceState.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\hooks\useGeoLocation.js", "JavaScript", 21, 0, 0, 0, 0, 2, 23
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\hooks\useLoginState.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\index.scss", "SCSS", 0, 0, 22, 0, 3, 7, 32
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\main.jsx", "JavaScript JSX", 0, 44, 0, 0, 4, 5, 53
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\AboutUs\AboutUs.jsx", "JavaScript JSX", 0, 32, 0, 0, 1, 7, 40
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\AboutUs\AboutUs.scss", "SCSS", 0, 0, 76, 0, 0, 8, 84
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\BooksPage\BooksPage.jsx", "JavaScript JSX", 0, 49, 0, 0, 2, 7, 58
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\BooksPage\BooksPage.scss", "SCSS", 0, 0, 46, 0, 0, 5, 51
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\Contact\Contact.jsx", "JavaScript JSX", 0, 60, 0, 0, 2, 6, 68
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\Contact\Contact.scss", "SCSS", 0, 0, 90, 0, 0, 6, 96
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\DashBoard\Dashboard.jsx", "JavaScript JSX", 0, 17, 0, 0, 1, 5, 23
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\DashBoard\Dashboard.scss", "SCSS", 0, 0, 20, 0, 0, 2, 22
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\Home\App.jsx", "JavaScript JSX", 0, 41, 0, 0, 3, 9, 53
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\pages\Home\App.scss", "SCSS", 0, 0, 51, 0, 0, 6, 57
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\reducers\addBookReducer.js", "JavaScript", 58, 0, 0, 0, 1, 5, 64
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\reducers\authReducer.js", "JavaScript", 22, 0, 0, 0, 0, 4, 26
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\reducers\dashboardSelectionReducer.js", "JavaScript", 43, 0, 0, 0, 2, 5, 50
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\reducers\loginSignupReducer.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\reducers\useStorageInfo.js", "JavaScript", 21, 0, 0, 0, 0, 6, 27
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\stores\rootStore.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\utility\BrowserNavigate.jsx", "JavaScript JSX", 0, 15, 0, 0, 1, 7, 23
"Total", "-", 260, 1390, 2038, 12, 73, 433, 4206
