"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\NavButton\NavButton.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\NavButton\NavButton.scss", "SCSS", 0, 0, 53, 0, 0, 0, 0, 3, 56
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Navbar\Navbar.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 6, 12, 107
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\Navbar\Navbar.scss", "SCSS", 0, 0, 82, 0, 0, 0, 0, 3, 85
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PaginatedView\PaginatedView.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 4, 15, 104
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PaginatedView\PaginatedView.scss", "SCSS", 0, 0, 118, 0, 0, 0, 4, 8, 130
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PersonCard\PersonCard.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PersonCard\PersonCard.scss", "SCSS", 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PictureUploader\PictureUploader.jsx", "JavaScript JSX", 0, 126, 0, 0, 0, 0, 5, 15, 146
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\PictureUploader\PictureUploader.scss", "SCSS", 0, 0, 74, 0, 0, 0, 0, 2, 76
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\ProgressBar\ProgressBar.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\ProgressBar\ProgressBar.scss", "SCSS", 0, 0, 39, 0, 0, 0, 1, 3, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBarItem\SearchBarItem.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBarItem\SearchBarItem.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\UI\SearchBar\SearchBar.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 1, 8, 40
